songtitle,artist,lyrics,target
The London,"Young Thug ft. J. Cole, Travis Scott","Beni—Londra’da bul
Eğer zamanın olursa, biraz kaçabiliriz
Konuşuruz, geri alınamaz bazı şeyleri
Sadece konumu at, seni bulurum
1.85 boyundayım, parada iyiyim, 2.80 gibi
Sadece “gel” de, koşarak gelirim
İki mesaj, cevap yok—o an anladım",Hip-Hop
Wow.,Post Malone,"Hunnid bands in my pocket, it's on me
Hunnid deep when I roll like the army
Get more bottles, these bottles are lonely
It’s a moment when I show up, got 'em sayin', ""Wow"" (Wow, wow)
Hunnid bands in my pocket, it's on me (On me)
Yeah, your grandmama probably know me (Know me)",Hip-Hop
Ultralight Beam,Kanye West,"So why send oppression, not blessings?
Why, oh, why'd You do me wrong? (More)
You persecute the weak
Because it makes You feel so strong (Safe)
Don't have much strength to fight
So I look to the light (War)
To make these wrongs turn right
Head up high, I look to the light",Hip-Hop
Ransom,Lil Tecca,"The Chanel or Balenciaga, Louis and Vuitton
She know I got the Fendi, Prada when I hit Milan
I needed me a die or rider, I need me the one
I started from the bottom, you could see the way I stunt
I want all the diamonds, I want it to weigh a ton",Hip-Hop
Life is Good,Future,"Workin' on a weekend like usual
Way off in the deep end like usual (Like usual)
they swear they passed us, they doin' too much
Haven't done my taxes, I'm too turnt up
Virgil got a Patek on my wrist goin' nuts
they caught me slippin' once, okay, so what?
Someone hit your block up, I'd tell you if it was us",Hip-Hop
What's Poppin,Jack Harlow,"This where my head is (Listen)
I feel resentment from every direction
Even some homies be wearing expressions
I be discouraged from sharing my blessings (Damn)
We used to share a connection
Now it just feels like it's wearing and stretching
I'm getting real sick of taking advice
From people that never could stare at reflections (Ooh)
Somewhere in there is a lesson
Y'all ain't evolvin', it's very depressing",Hip-Hop
Ballin',Mustard ft. Roddy Ricch,"I just mind my business
I got brothers that did the time, I ain't kiddin'
All these rappers just talk about it, I live it
Goin' up, I ain't got no sky limit, yeah, yeah, yeah
I put the new Forgis on the Jeep
I trap until the bloody bottoms is underneath",Hip-Hop
God's Plan,Drake,"I been movin' calm, don't start no trouble with me
Tryna keep it peaceful is a struggle for me
Don't pull up at 6 a.m. to cuddle with me
You know how I like it when you lovin' on me
I don't wanna die for them to miss me
Yes, I see the things that they wishin' on me
Hope I got some brothers that outlive me",Hip-Hop
Drip Too Hard,Lil Baby & Gunna,"You can get the biggest Chanel bag in the store if you want it
I gave 'em the drip, they sucked it up, I got 'em on it
I bought a new Patek, I had the watch, so I two-toned 'em
That ain't your car, you just a leaser, you don't own it
If I'm in the club, I got that fire when I'm performin'
The backend just came in, in all hunnids",Hip-Hop
One Dance,Drake,"Strength and guidance
All that I'm wishin' for my friends
Nobody makes it from my ends
I had to bust up the silence
You know you gotta stick by me
Soon as you see the text, reply me
I don't wanna spend time fighting
We've got no time
And that's why I need a one dance",Hip-Hop
Industry Baby,Lil Nas X ft. Jack Harlow,"I ain't lost since I began, yeah
Funny how you said it was the end, yeah
Then I went did it again, yeah
I told you long ago, on the road
I got what they waitin' for
I don't run from nothin', dog
Get your soldiers, tell 'em I ain't layin' low
You was never really rootin' for me anyway",Hip-Hop
Go Crazy,Chris Brown & Young Thug,"I been overseas goin' crazy (yeah)
I can tell you love it when we made up (ayy)
Black and gray diamonds like a Raider (Raider)
Orange peel, your love is real (yeah)
Lovin' skills, I need some lovin' skills (yeah)
Left my dirty drawers and you love me still (yeah)
Eyes come lazy, but she is real (yeah)
Dressed to kill (yeah, yeah, yeah)",Hip-Hop
Lemonade,"Internet Money ft. Gunna, Don Toliver, NAV","Got a penthouse near Rodeo off of stress (Stress)
All this money, when I grew up, I had nothing (Nothing)
Filled with backstabbers, my old life was disgusting (Disgusting)
Can't believe it, gotta thank God that I'm livin' comfortably (Thank God)
Gettin' checks, I don't believe her, she say she done with me",Hip-Hop
Mood,24kGoldn ft. Iann Dior,"Why you always in a mood?
Messin' 'round, actin' brand new
I ain't tryna tell you what to do
But try to play it cool
Baby, I ain't playing by your rules
Everything look better with a view, yeah
I could never get attached
When I start to feel, I unattach
Somehow always end up feeling bad",Hip-Hop
Highest in the Room,Travis Scott,"She saw my eyes, she know I'm gone (ah)
I see some things that you might fear
I'm doin' a show, I'll be back soon (soon)
That ain't what she wanna hear (nah)
Now I got her in my room (ah)
Legs wrapped around my beard
Got the fastest car, it zoom (skrrt)
Hope we make it outta here (ah)
When I'm with you, I feel alive",Hip-Hop
Earfquake,Tyler the Creator,"Cause you make my earth quake
Oh, you make my earth quake
Riding around, your love is shakin' me up and it's making my heart break
'Cause you make my earth quake (earth quake, ooh)
Oh, you make my earth quake
Riding around, your love is shakin' me up and it's making my heart break",Hip-Hop
Nonstop,Drake,"Look, I just flipped the switch (flipped, flipped)
I don't know nobody else that's doin' this
Bodies start to drop, ayy, hit the floor
Now they wanna know me since I hit the top, ayy
This a Rollie, not a stopwatch, it don't ever stop
This the flow that got the block hot, it got super hot, ayy",Hip-Hop
Circo Loco,Drake & 21 Savage,"Ayy, Bottega shades with the grey tints
Introduce me to her n-, yeah, it make sense
Gotta put her on the team, got a grey bench
Linking with the opps, b-, I did that for J Prince
B-, I did it for the mob ties
Feel like 17, two percs, frog eyes
And I never been the one to go apologize",Hip-Hop
Knife Talk,"Drake ft. 21 Savage, Project Pat","I'm on everything
Jacob charged me four-fifty for a tennis chain
US Open, had it on us at the tennis game (gang)
Tell the coach don't take me out, I like to finish games
And my pen insane, and my men insane (yeah, gang)
There's like eighty of us now, that's the scary thing",Hip-Hop
Die Young,Roddy Ricch,"Gotta keep it on me, I don't wanna die young
I rather be judged by twelve, than carried by six
I'ma go post bail, just look at my wrist
Tell me, why the legends always gotta die quick?
Tryna get my bag, I had to go and make it happen",Hip-Hop
